epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,11539.1,0.65061,0.42028,0.84667,0.95062,0.96333,0.98843,0.88667,0.49382,0.33158,0.80916,0.00708657,0.00708657,0.00708657
105,11568.9,0.65461,0.41986,0.8486,0.95271,0.93032,0.98004,0.87336,0.50798,0.35538,0.8126,0.00705829,0.00705829,0.00705829
106,11590.6,0.64921,0.41343,0.84775,0.97406,0.96531,0.99104,0.88126,0.49646,0.32236,0.80982,0.00703,0.00703,0.00703
107,11610.3,0.65146,0.41408,0.85024,0.95827,0.96706,0.98778,0.88676,0.50042,0.3265,0.80913,0.00700171,0.00700171,0.00700171
108,11629.8,0.63645,0.41256,0.84692,0.9635,0.97298,0.98943,0.89166,0.48215,0.31157,0.80717,0.00697343,0.00697343,0.00697343
109,11662.9,0.62576,0.3956,0.84395,0.95821,0.95766,0.98463,0.88784,0.4847,0.32771,0.80716,0.00694514,0.00694514,0.00694514
110,11692.1,0.63712,0.40001,0.84673,0.97448,0.96782,0.98951,0.89073,0.4858,0.30372,0.80784,0.00691686,0.00691686,0.00691686
111,11730.4,0.63061,0.40297,0.84344,0.97315,0.97149,0.99045,0.89845,0.46759,0.29468,0.80493,0.00688857,0.00688857,0.00688857
112,11751,0.6367,0.40328,0.84426,0.94002,0.93902,0.97136,0.86163,0.51226,0.33986,0.81199,0.00686029,0.00686029,0.00686029
113,11781.4,0.64582,0.40521,0.84467,0.94574,0.95356,0.98449,0.88432,0.47168,0.31919,0.80549,0.006832,0.006832,0.006832
114,11800.4,0.62825,0.4015,0.84463,0.95117,0.94463,0.96569,0.87095,0.47977,0.32988,0.80655,0.00680371,0.00680371,0.00680371
115,11837.1,0.62585,0.40012,0.84318,0.97692,0.96149,0.98984,0.90016,0.46484,0.3039,0.80241,0.00677543,0.00677543,0.00677543
116,11865.2,0.64532,0.40849,0.845,0.97459,0.9615,0.9875,0.89169,0.48147,0.30871,0.80572,0.00674714,0.00674714,0.00674714
117,11897,0.62329,0.3922,0.84518,0.96297,0.94807,0.98272,0.89108,0.47451,0.31759,0.80439,0.00671886,0.00671886,0.00671886
118,11933.4,0.63684,0.39852,0.84412,0.91399,0.93353,0.9678,0.87942,0.45802,0.33583,0.80271,0.00669057,0.00669057,0.00669057
119,11968.3,0.63198,0.39009,0.84151,0.9654,0.9577,0.98708,0.89631,0.47181,0.30212,0.80351,0.00666229,0.00666229,0.00666229
120,11998,0.62493,0.3934,0.84202,0.97882,0.96314,0.98998,0.89692,0.48244,0.30201,0.80402,0.006634,0.006634,0.006634
121,12030.6,0.64414,0.40626,0.84517,0.96899,0.96693,0.98772,0.89343,0.46664,0.30826,0.80424,0.00660571,0.00660571,0.00660571
122,12059.5,0.60627,0.38342,0.84096,0.96594,0.96714,0.98904,0.89207,0.47079,0.30795,0.80563,0.00657743,0.00657743,0.00657743
123,12077.3,0.62094,0.39108,0.84515,0.97397,0.97124,0.99073,0.90233,0.46645,0.28938,0.80505,0.00654914,0.00654914,0.00654914
124,12107.8,0.60607,0.379,0.83941,0.98502,0.9707,0.99149,0.90084,0.46475,0.2836,0.8032,0.00652086,0.00652086,0.00652086
125,12126.8,0.61646,0.38225,0.84105,0.96546,0.95817,0.98704,0.89448,0.45991,0.29393,0.80195,0.00649257,0.00649257,0.00649257
126,12147.2,0.6173,0.3839,0.83932,0.9646,0.93499,0.97405,0.88376,0.46471,0.30618,0.80285,0.00646429,0.00646429,0.00646429
127,12166.3,0.6137,0.38637,0.83659,0.96037,0.95527,0.98411,0.89444,0.46257,0.30338,0.80305,0.006436,0.006436,0.006436
128,12185.4,0.6163,0.38598,0.83917,0.97779,0.95617,0.98702,0.89294,0.47602,0.30118,0.80498,0.00640771,0.00640771,0.00640771
129,12209.8,0.64159,0.39463,0.84111,0.98724,0.96607,0.99056,0.90048,0.48461,0.29686,0.80316,0.00637943,0.00637943,0.00637943
130,12231,0.60559,0.37863,0.84033,0.98382,0.95468,0.98909,0.9047,0.45166,0.29037,0.80161,0.00635114,0.00635114,0.00635114
131,12260,0.60512,0.37119,0.8399,0.96917,0.96457,0.98587,0.90043,0.45325,0.29097,0.80063,0.00632286,0.00632286,0.00632286
132,12279.1,0.60081,0.37123,0.8357,0.96277,0.94155,0.98015,0.89,0.46044,0.3068,0.801,0.00629457,0.00629457,0.00629457
133,12295.1,0.61988,0.37926,0.83962,0.95089,0.94455,0.96918,0.87362,0.47396,0.32359,0.80393,0.00626629,0.00626629,0.00626629
134,12319.6,0.60881,0.37838,0.83725,0.93687,0.9568,0.97982,0.88479,0.46969,0.32285,0.80222,0.006238,0.006238,0.006238
135,12343.1,0.6124,0.38389,0.83957,0.98091,0.97319,0.99166,0.89967,0.46422,0.29406,0.80195,0.00620971,0.00620971,0.00620971
