epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,970.139,0.38179,0.26605,0.80015,0.99588,0.99485,0.9949,0.85393,0.64689,0.27852,0.83105,0.00938772,0.00938772,0.00938772
74,983.607,0.37825,0.26912,0.79765,0.99298,0.99359,0.99466,0.87957,0.57387,0.26646,0.8215,0.00937096,0.00937096,0.00937096
75,997.329,0.38501,0.2697,0.79893,0.99601,0.99133,0.99478,0.86884,0.62128,0.29222,0.82672,0.009354,0.009354,0.009354
76,1010.86,0.37657,0.26507,0.79673,0.99155,0.99345,0.99457,0.86767,0.61485,0.27732,0.82628,0.00933683,0.00933683,0.00933683
77,1024.31,0.38381,0.26626,0.79801,0.99016,0.98323,0.99297,0.85618,0.62932,0.2941,0.82964,0.00931944,0.00931944,0.00931944
78,1038.11,0.38567,0.27014,0.79813,0.99427,0.98723,0.99455,0.8645,0.62593,0.27944,0.82904,0.00930185,0.00930185,0.00930185
79,1051.72,0.38405,0.2665,0.79765,0.99487,0.99278,0.99487,0.8833,0.55811,0.26569,0.81853,0.00928405,0.00928405,0.00928405
80,1065.63,0.38946,0.27997,0.79488,0.98246,0.99259,0.99443,0.85483,0.64638,0.29008,0.83257,0.00926605,0.00926605,0.00926605
81,1079.48,0.3838,0.29235,0.79986,0.99062,0.99082,0.99463,0.84424,0.68177,0.30649,0.83664,0.00924784,0.00924784,0.00924784
82,1093.05,0.39523,0.28556,0.79722,0.81195,0.91166,0.94708,0.79721,0.70197,0.50343,0.84426,0.00922942,0.00922942,0.00922942
83,1106.13,0.38609,0.26676,0.79695,0.99478,0.99315,0.99489,0.87756,0.55596,0.25924,0.81854,0.0092108,0.0092108,0.0092108
84,1119.31,0.39518,0.2699,0.79936,0.99751,0.99598,0.99498,0.86589,0.62214,0.2722,0.82621,0.00919198,0.00919198,0.00919198
