epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,485.522,0.70068,0.49111,0.86038,0.94264,0.929,0.97708,0.86338,0.51322,0.35794,0.81426,0.00751086,0.00751086,0.00751086
90,490.871,0.72573,0.49268,0.86216,0.9768,0.93517,0.98639,0.87319,0.51248,0.34568,0.81377,0.00748257,0.00748257,0.00748257
91,496.246,0.69303,0.48072,0.86398,0.97065,0.94876,0.98753,0.8779,0.5224,0.33234,0.81434,0.00745429,0.00745429,0.00745429
92,501.7,0.69929,0.47616,0.85787,0.95303,0.94165,0.98329,0.87804,0.48879,0.34028,0.80874,0.007426,0.007426,0.007426
93,507.008,0.68357,0.47457,0.86152,0.93953,0.91502,0.96985,0.86275,0.49663,0.36048,0.81114,0.00739771,0.00739771,0.00739771
94,512.357,0.69593,0.47789,0.85923,0.89948,0.91853,0.96613,0.84824,0.5313,0.38277,0.81484,0.00736943,0.00736943,0.00736943
95,517.897,0.6894,0.47571,0.85915,0.97245,0.93048,0.98384,0.87152,0.52085,0.33637,0.8144,0.00734114,0.00734114,0.00734114
96,523.238,0.68936,0.46592,0.85562,0.95834,0.93606,0.9837,0.8777,0.49953,0.34297,0.81178,0.00731286,0.00731286,0.00731286
97,528.567,0.68559,0.46828,0.85681,0.9599,0.93973,0.98367,0.87572,0.50143,0.33939,0.81011,0.00728457,0.00728457,0.00728457
98,533.912,0.68114,0.46488,0.8586,0.95264,0.95761,0.98723,0.87728,0.51599,0.34166,0.81356,0.00725629,0.00725629,0.00725629
99,539.29,0.68486,0.45712,0.86024,0.93053,0.95992,0.98086,0.87457,0.50212,0.33656,0.80877,0.007228,0.007228,0.007228
100,544.63,0.67028,0.45566,0.85538,0.96225,0.95372,0.98329,0.87876,0.49824,0.32775,0.81003,0.00719971,0.00719971,0.00719971
101,550.236,0.67527,0.45754,0.85945,0.97372,0.94992,0.98832,0.88678,0.48556,0.31908,0.80618,0.00717143,0.00717143,0.00717143
102,555.618,0.69518,0.45909,0.85618,0.95149,0.94705,0.9825,0.8726,0.52109,0.3477,0.81477,0.00714314,0.00714314,0.00714314
103,560.972,0.69526,0.46648,0.85919,0.95298,0.97432,0.98721,0.88148,0.49195,0.32784,0.8087,0.00711486,0.00711486,0.00711486
104,566.341,0.67003,0.45479,0.85258,0.93735,0.95505,0.98216,0.87465,0.51888,0.3368,0.81284,0.00708657,0.00708657,0.00708657
