epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,330.773,0.84947,0.63217,0.90107,0.89695,0.87739,0.94124,0.79125,0.65005,0.47985,0.84322,0.00835943,0.00835943,0.00835943
60,336.337,0.80583,0.61463,0.89235,0.87782,0.83413,0.91342,0.77363,0.61054,0.48447,0.84016,0.00833114,0.00833114,0.00833114
61,341.784,0.78957,0.59302,0.88679,0.92398,0.89358,0.96059,0.82883,0.57784,0.42967,0.8328,0.00830286,0.00830286,0.00830286
62,347.268,0.7989,0.58845,0.89432,0.77473,0.8117,0.86677,0.73108,0.64571,0.69535,0.8461,0.00827457,0.00827457,0.00827457
63,352.719,0.80752,0.6084,0.89066,0.93404,0.91092,0.9666,0.83956,0.55426,0.41829,0.82807,0.00824629,0.00824629,0.00824629
64,358.183,0.79434,0.59337,0.88493,0.89947,0.90659,0.95806,0.82395,0.5911,0.4376,0.83365,0.008218,0.008218,0.008218
65,363.736,0.79695,0.59712,0.88647,0.94488,0.89567,0.97046,0.83941,0.55824,0.43162,0.82851,0.00818971,0.00818971,0.00818971
66,369.226,0.7849,0.58815,0.88461,0.92893,0.93814,0.97603,0.85236,0.54791,0.4016,0.82917,0.00816143,0.00816143,0.00816143
67,374.715,0.75695,0.56756,0.88264,0.92167,0.88395,0.95687,0.82728,0.56002,0.46014,0.82919,0.00813314,0.00813314,0.00813314
68,380.148,0.80557,0.57453,0.88659,0.92535,0.93374,0.97415,0.85318,0.5467,0.41292,0.8248,0.00810486,0.00810486,0.00810486
69,385.663,0.79344,0.57013,0.87932,0.92221,0.91964,0.97498,0.8328,0.58048,0.42729,0.83217,0.00807657,0.00807657,0.00807657
70,391.131,0.77813,0.56442,0.88574,0.93371,0.9204,0.97412,0.85795,0.52941,0.39381,0.82282,0.00804829,0.00804829,0.00804829
71,396.731,0.73997,0.54756,0.87564,0.93109,0.93014,0.97032,0.84577,0.55184,0.42486,0.8264,0.00802,0.00802,0.00802
